,country,year,democracy_index,human_development_index
0,AFG,2006,30.6,41.0
1,AFG,2008,30.2,43.1
2,AFG,2010,24.8,44.9
3,AFG,2011,24.8,45.7
4,AFG,2012,24.8,46.7
5,AFG,2013,24.8,47.5
6,AFG,2014,27.7,48.0
7,AFG,2015,27.7,47.9
8,AFG,2016,25.5,48.3
9,AFG,2017,25.5,48.5
10,AFG,2018,29.7,48.6
11,AFG,2019,28.5,49.2
12,AFG,2020,28.5,48.8
13,AFG,2021,3.2,47.3
14,AFG,2022,3.2,46.2
15,AGO,2006,24.1,46.3
16,AGO,2008,33.5,49.2
17,AGO,2010,33.2,51.6
18,AGO,2011,33.2,53.3
19,AGO,2012,33.5,54.5
20,AGO,2013,33.5,55.5
21,AGO,2014,33.5,56.5
22,AGO,2015,33.5,59.1
23,AGO,2016,34.0,59.5
24,AGO,2017,36.2,59.7
25,AGO,2018,36.2,59.8
26,AGO,2019,37.2,59.7
27,AGO,2020,36.6,59.4
28,AGO,2021,33.7,59.0
29,AGO,2022,39.6,59.1
30,ALB,2006,59.1,72.8
31,ALB,2008,59.1,74.7
32,ALB,2010,58.6,76.6
33,ALB,2011,58.1,77.9
34,ALB,2012,56.7,78.9
35,ALB,2013,56.7,79.3
36,ALB,2014,56.7,79.7
37,ALB,2015,59.1,79.7
38,ALB,2016,59.1,79.5
39,ALB,2017,59.8,79.6
40,ALB,2018,59.8,79.7
41,ALB,2019,58.9,80.0
42,ALB,2020,60.8,78.4
43,ALB,2021,61.1,78.5
44,ALB,2022,64.1,78.9
45,ARE,2006,24.2,82.0
46,ARE,2008,26.0,82.7
47,ARE,2010,25.2,82.8
48,ARE,2011,25.8,83.5
49,ARE,2012,25.8,84.1
50,ARE,2013,25.2,84.7
51,ARE,2014,26.4,85.3
52,ARE,2015,27.5,86.0
53,ARE,2016,27.5,86.6
54,ARE,2017,26.9,89.8
55,ARE,2018,27.6,91.7
56,ARE,2019,27.6,93.3
57,ARE,2020,27.0,93.0
58,ARE,2021,29.0,93.1
59,ARE,2022,29.0,93.7
60,ARG,2006,66.3,81.4
61,ARG,2008,66.3,82.5
62,ARG,2010,68.4,83.4
63,ARG,2011,68.4,84.2
64,ARG,2012,68.4,84.4
65,ARG,2013,68.4,84.6
66,ARG,2014,68.4,84.7
67,ARG,2015,70.2,85.0
68,ARG,2016,69.6,84.8
69,ARG,2017,69.6,85.3
70,ARG,2018,70.2,85.2
71,ARG,2019,70.2,85.3
72,ARG,2020,69.5,84.1
73,ARG,2021,68.1,84.4
74,ARG,2022,68.5,84.9
75,ARM,2006,41.5,71.4
76,ARM,2008,40.9,73.3
77,ARM,2010,40.9,73.9
78,ARM,2011,40.9,74.3
79,ARM,2012,40.9,75.1
80,ARM,2013,40.2,75.7
81,ARM,2014,41.3,76.4
82,ARM,2015,40.0,76.9
83,ARM,2016,38.8,77.3
84,ARM,2017,41.1,77.5
85,ARM,2018,47.9,78.1
86,ARM,2019,55.4,78.9
87,ARM,2020,53.5,76.9
88,ARM,2021,54.9,77.4
89,ARM,2022,56.3,78.6
90,AUS,2006,90.9,91.4
91,AUS,2008,90.9,92.0
92,AUS,2010,92.2,92.4
93,AUS,2011,92.2,92.7
94,AUS,2012,92.2,93.1
95,AUS,2013,91.3,92.9
96,AUS,2014,90.1,93.1
97,AUS,2015,90.1,93.3
98,AUS,2016,90.1,93.6
99,AUS,2017,90.9,93.7
100,AUS,2018,90.9,94.1
101,AUS,2019,90.9,94.1
102,AUS,2020,89.6,94.8
103,AUS,2021,89.0,94.9
104,AUS,2022,87.1,94.6
105,AUT,2006,86.9,89.3
106,AUT,2008,84.9,89.9
107,AUT,2010,84.9,90.3
108,AUT,2011,84.9,90.7
109,AUT,2012,86.2,90.9
110,AUT,2013,84.8,90.7
111,AUT,2014,85.4,91.1
112,AUT,2015,85.4,91.0
113,AUT,2016,84.1,91.3
114,AUT,2017,84.2,91.4
115,AUT,2018,82.9,91.7
116,AUT,2019,82.9,92.0
117,AUT,2020,81.6,91.6
118,AUT,2021,80.7,92.0
119,AUT,2022,82.0,92.6
120,AZE,2006,33.1,70.1
121,AZE,2008,31.9,72.3
122,AZE,2010,31.5,73.3
123,AZE,2011,31.5,73.5
124,AZE,2012,31.5,73.9
125,AZE,2013,30.6,74.5
126,AZE,2014,28.3,74.9
127,AZE,2015,27.1,75.1
128,AZE,2016,26.5,75.2
129,AZE,2017,26.5,75.4
130,AZE,2018,26.5,75.7
131,AZE,2019,27.5,76.2
132,AZE,2020,26.8,72.2
133,AZE,2021,26.8,73.8
134,AZE,2022,28.7,76.0
135,BDI,2006,45.1,36.5
136,BDI,2008,45.1,39.0
137,BDI,2010,40.1,40.4
138,BDI,2011,40.1,40.8
139,BDI,2012,36.0,41.2
140,BDI,2013,34.1,41.6
141,BDI,2014,33.3,41.9
142,BDI,2015,24.9,42.0
143,BDI,2016,24.0,42.3
144,BDI,2017,23.3,42.2
145,BDI,2018,23.3,42.1
146,BDI,2019,21.5,42.3
147,BDI,2020,21.4,41.9
148,BDI,2021,21.3,41.9
149,BDI,2022,21.3,42.0
150,BEL,2006,81.5,90.4
151,BEL,2008,81.6,90.9
152,BEL,2010,80.5,91.3
153,BEL,2011,80.5,91.4
154,BEL,2012,80.5,91.5
155,BEL,2013,80.5,91.7
156,BEL,2014,79.3,92.2
157,BEL,2015,79.3,92.4
158,BEL,2016,77.7,92.7
159,BEL,2017,77.8,93.1
160,BEL,2018,77.8,93.3
161,BEL,2019,76.4,93.6
162,BEL,2020,75.1,93.0
163,BEL,2021,75.1,93.8
164,BEL,2022,76.4,94.2
165,BEN,2006,61.6,45.6
166,BEN,2008,60.6,47.0
167,BEN,2010,61.7,48.1
